CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
09/20/2017,1944,9S,4500 PALL MALL RD,SHOOTING,,FIREARM,532,NORTHERN,Parklane,-76.66444,39.34149,"(39.34149, -76.66444)",Street,1
09/20/2017,535,9S,2800 ELLICOTT DR,SHOOTING,,FIREARM,814,SOUTHWESTERN,Winchester,-76.66369,39.30251,"(39.30251, -76.66369)",Street,1
09/19/2017,1753,1F,200 N BOND ST,HOMICIDE,,FIREARM,212,SOUTHEASTERN,Dunbar-Broadway,-76.59594,39.29366,"(39.29366, -76.59594)",Street,1
09/19/2017,1022,9S,3500 ERDMAN AV,SHOOTING,,FIREARM,432,NORTHEASTERN,Belair-Edison,-76.57036,39.31869,"(39.31869, -76.57036)",Alley,1
09/18/2017,2240,1F,0 N VINCENT ST,HOMICIDE,,FIREARM,711,WESTERN,Franklin Square,-76.64308,39.28881,"(39.28881, -76.64308)",Street,1
09/18/2017,2050,9S,4700 HAMILTON AV,SHOOTING,,FIREARM,444,NORTHEASTERN,Frankford,-76.54035,39.33763,"(39.33763, -76.54035)",Street,1
09/18/2017,2045,9S,5900 LACLEDE RD,SHOOTING,,FIREARM,441,NORTHEASTERN,Cedonia,-76.53128,39.32729,"(39.32729, -76.53128)",Alley,1
09/18/2017,1947,9S,1800 ORLEANS ST,SHOOTING,,FIREARM,321,EASTERN,Dunbar-Broadway,-76.59129,39.29529,"(39.29529, -76.59129)",Hospital,1
09/17/2017,1729,9S,3200 GARRISON BLVD,SHOOTING,,FIREARM,642,NORTHWESTERN,Concerned Citizens Of For,-76.68185,39.32453,"(39.32453, -76.68185)",Street,1
09/17/2017,1420,1F,1400 N MOUNT ST,HOMICIDE,,FIREARM,743,WESTERN,Sandtown-Winchester,-76.64472,39.30441,"(39.30441, -76.64472)",Street,1
09/16/2017,1740,9S,3400 PIEDMONT AV,SHOOTING,,FIREARM,641,NORTHWESTERN,Hanlon-Longwood,-76.6748,39.3163,"(39.3163, -76.6748)",Street,1
09/16/2017,1740,9S,3400 PIEDMONT AV,SHOOTING,,FIREARM,641,NORTHWESTERN,Hanlon-Longwood,-76.6748,39.3163,"(39.3163, -76.6748)",Street,1
09/16/2017,1732,1F,2700 BOARMAN AV,HOMICIDE,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.66595,39.33871,"(39.33871, -76.66595)",Vehicle,1
09/16/2017,1732,9S,2700 BOARMAN AV,SHOOTING,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.66595,39.33871,"(39.33871, -76.66595)",Vehicle,1
09/16/2017,1652,9S,4700 SHAMROCK AV,SHOOTING,,FIREARM,442,NORTHEASTERN,Parkside,-76.55655,39.32311,"(39.32311, -76.55655)",Street,1
09/15/2017,2242,9S,1200 WASHINGTON BLVD,SHOOTING,,FIREARM,932,SOUTHERN,Washington Village/Pigtow,-76.63424,39.2816,"(39.2816, -76.63424)",Dwelling,1
09/15/2017,2235,9S,2100 WALBROOK AV,SHOOTING,,FIREARM,731,WESTERN,Mondawmin,-76.65158,39.31078,"(39.31078, -76.65158)",Street,1
09/15/2017,2220,9S,1400 MOSHER ST,SHOOTING,,FIREARM,743,WESTERN,Sandtown-Winchester,-76.6403,39.3001,"(39.3001, -76.6403)",Street,1
09/13/2017,2117,9S,1300 STONEWOOD RD,SHOOTING,,FIREARM,413,NORTHEASTERN,New Northwood,-76.59516,39.34929,"(39.34929, -76.59516)",Dwelling,1
09/13/2017,922,1O,0 MARKET PL,HOMICIDE,,OTHER,111,CENTRAL,Downtown,-76.60694,39.2886,"(39.2886, -76.60694)",Public Are,1
09/13/2017,109,1K,600 POPLAR GROVE ST,HOMICIDE,,KNIFE,814,SOUTHWESTERN,Franklintown Road,-76.66496,39.29452,"(39.29452, -76.66496)",Street,1
09/12/2017,2020,9S,2700 SETHLOW RD,SHOOTING,,FIREARM,922,SOUTHERN,Cherry Hill,-76.62954,39.24909,"(39.24909, -76.62954)",Public Hou,1
09/12/2017,2020,9S,2700 SETHLOW RD,SHOOTING,,FIREARM,922,SOUTHERN,Cherry Hill,-76.62954,39.24909,"(39.24909, -76.62954)",Public Hou,1
09/12/2017,1721,9S,1600 BAKBURY CT,SHOOTING,,FIREARM,742,WESTERN,Sandtown-Winchester,-76.64516,39.30688,"(39.30688, -76.64516)",Public Are,1
09/12/2017,907,9S,1300 N MILTON AV,SHOOTING,,FIREARM,331,EASTERN,Broadway East,-76.58279,39.30626,"(39.30626, -76.58279)",Street,1
09/12/2017,907,9S,1300 N MILTON AV,SHOOTING,,FIREARM,331,EASTERN,Broadway East,-76.58279,39.30626,"(39.30626, -76.58279)",Street,1
09/12/2017,2,9S,1600 BAKER ST,SHOOTING,,FIREARM,742,WESTERN,Sandtown-Winchester,-76.64347,39.30678,"(39.30678, -76.64347)",Street,1
09/11/2017,2322,9S,3900 CHESTERFIELD AV,SHOOTING,,FIREARM,432,NORTHEASTERN,Belair-Edison,-76.56297,39.31717,"(39.31717, -76.56297)",Street,1
09/11/2017,2000,9S,5000 KELWAY RD,SHOOTING,,FIREARM,413,NORTHEASTERN,New Northwood,-76.59406,39.35036,"(39.35036, -76.59406)",Street,1
